	name	cat	address	emp	vac
730	"ООО ""Компания Стимул"""	Торговля оптовая кофе, чаем, какао и пряностями	690074, г Владивосток, ул Снеговая, д. 34, офис 1, Собеседование по предварительной записи по телефону.	158	4
731	"ООО ""КОМФОРМ"""	Деятельность в области права…	690005, г Владивосток, ул Новоивановская, д. 2, корп. А	41	2
732	"ООО ""КОНТЕЙНЕРАВТОТРАНС"""	Транспортная обработка контейнеров…	690062, г Владивосток, ул Днепровская, д. 115	37	0
733	"ООО ""Континент"""	Деятельность вспомогательная прочая, связанная с перевозками…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 504, кадровая служба и собеседование с предварительной записью по телефону	1	0
734	"ООО ""КОНТРАСТ"""	Смешанное сельское хозяйство…	692903, г Находка, ул Гагарина, д. 10, офис 207	8	1
735	"ООО ""Коралл"""	Торговля розничная в неспециализированных магазинах	690021, г Владивосток, ул Черемуховая, д. 15, магазин Самбери	102	0
736	"ООО ""Корона"""	Деятельность ресторанов и услуги по доставке продуктов питания…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Обязательна предварительная запись по телефону;	10	2
737	"ООО ""Корунд"""	Строительство жилых и нежилых зданий…	690091, г Владивосток, ул Фонтанная, д. 18, корп. А, офис 3	50	0
738	"ООО ""Корф"""	Производство продукции из мяса убойных животных и мяса птицы…	690017, г Владивосток, ул Кипарисовая, д. 8	79	3
739	"ООО ""Костер"""	Деятельность ресторанов и услуги по доставке продуктов питания…	690003, г Владивосток, ул Бестужева, д. 15, корп. А, офис 1, Собеседование по адресу: Океанский пр., 69 офис 501 каждый вторник с 11:00 до 12:00 обязательна предварительная запись по телефону.	3	12
740	"ООО ""КОТЕЛЬНЫЕ СИСТЕМЫ"""	Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха…	690912, г Владивосток, ул Очаковская, д. 5, Собеседование по предварительной записи по телефону.	33	4
741	"ООО ""КРАСНЫЙ МАМОНТ"""	Торговля розничная строительными материалами, не включенными в другие группировки, в специализированных магазинах…	690105, г Владивосток, ул Бородинская, д. 46, корп. 50, офис 318	56	4
742	"ООО ""КРИСТАЛЛ"""	Торговля розничная мебелью в специализированных магазинах…	690105, г Владивосток, ул Русская, д. 94, корпус а	18	0
743	"ООО ""КСМ"""	Производство изделий из бетона для использования в строительстве…	690034, г Владивосток, ул Фадеева, д. 47, корп. а	12	0
744	"ООО ""КЭТС"""	Торговля оптовая мясом и мясными продуктами	690017, г Владивосток, ул Кипарисовая, д. 8	47	2
745	"ООО ""ЛАВР"""	Техническое обслуживание и ремонт автотранспортных средств…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Собеседование каждый вторник с 11.00 до 12.00, по предварительной записи по телефону;	12	17
746	"ООО ""ЛАЙТ"""	Деятельность ресторанов и услуги по доставке продуктов питания…	690016, г Владивосток, ул Нестерова, д. 13, офис 202, Собеседование по адресу г. Вл-ок Океанский пр., 96 офис 501 каждый вторник с 11 до 12, обязательна предварительная запись по телефону.	6	5
747	"ООО ""ЛАРЦ"""	Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе	690087, г Владивосток, ул Котельникова, д. 7	41	0
748	"ООО ""ЛДЦ МЕЧНИКОВ"""	Общая врачебная практика	690001, г Владивосток, ул Капитана Шефнера, д. 2, корп. а	49	0
749	"ООО ""ЛЕМАР"""	Деятельность по чистке и уборке жилых зданий и нежилых помещений прочая…	690087, г Владивосток, ул Сабанеева, д. 16, офис 275, Собеседование по адресу г. Вл-ок ул. Карабельная Набережная, 5 по предварительной записи по телефону.	40	0
750	"ООО ""Лемма"" "	Деятельность в области радиовещания…	690014, г Владивосток, пр-кт Народный, д. 13	43	0
751	"ООО ""ЛЕСНОЙ КВАРТАЛ"""	Строительство зданий	690078, г Владивосток, ул Луцкого, д. 21	105	0
752	"ООО ""Ливадийский ремонтно-судостроительный завод"""	Ремонт и техническое обслуживание судов и лодок	692954, г Находка, мкр Ливадия, ул Набережная, д. 32	203	7
753	"ООО ""ЛИДЕР ДВ"""	Строительство жилых и нежилых зданий…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Собеседование каждый вторник с 10 до 11, обязательна предварительная запись по телефону. Рабочее место: строительные объекты по г. Владивостоку	37	2
754	"ООО ""ЛОГИСТИК"""	Деятельность агентств по подбору персонала…	690062, г Владивосток, ул Днепровская, д. 21, корп. Б	61	0
755	"ООО ""Локомотив"""	Деятельность вспомогательная, связанная с сухопутным транспортом	690012, г Владивосток, ул Березовая, д. 25	64	0
756	"ООО ""Лорри Экспресс"""	Деятельность автомобильного грузового транспорта и услуги по перевозкам…	690003, г Владивосток, ул Бестужева, д. 36/38, офис 68, На территориии завода Бетонного завода	44	0
757	"ООО ""Лотс"""	Деятельность по предоставлению мест для краткосрочного проживания…	690108, г Владивосток, тер Бухта Лазурная, д. 19	67	4
758	"ООО ""Лотте Отель Владивосток"""	Деятельность гостиниц и прочих мест для временного проживания…	690091, г Владивосток, ул Семеновская, д. 29	181	1
759	"ООО ""ЛУНХАЙ"""	Строительство жилых и нежилых зданий…	690014, г Владивосток, ул Некрасовская, д. 88А, офис 401	4	10
760	"ООО ""Любава"""	Производство прочих отделочных и завершающих работ	690065, г Владивосток, ул Леонова, д. 1, корп. а	107	0
761	"ООО ""ЛЮКСМОНТАЖ"""	Работы строительные отделочные…	690091, г Владивосток, ул Фонтанная, д. 61, офис 5, предварительная запись на собеседование по телефону	37	0
762	"ООО ""ЛЮТА"""	Торговля оптовая за вознаграждение или на договорной основе…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Приём и собеседование по предварительной записи проводится каждый вторник с 10.00 до 11.00 час.;	29	0
763	"ООО ""М. СУРЕШ ВЛАДИВОСТОК"""	Обработка алмазов…	690080, г Владивосток, ул Сахалинская, д. 4, Собеседование по предварительной записи по телефону.	52	8
764	"ООО ""М.О.К.-ПримСтрой"""	Выращивание зерновых культур…	690033, г Владивосток, пр-кт 100-летия Владивостока, д. 57, корп. А, прием граждан на собеседование	75	0
765	"ООО ""Магистраль"""	Деятельность ресторанов и услуги по доставке продуктов питания…	692519, г Уссурийск, ул Суханова, д. 21, офис 2, ОБРАЩАТЬСЯ С НАПРАВЛЕНИЯМИ ПО ПРЕДВАРИТЕЛЬНОЙ ЗАПИСИ ПО ТЕЛЕФОНУ 8(908)9981554	1	0
766	"ООО ""Магнат Групп"""	Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Собеседование и приём соискателей с предварительной записью по телефону каждый вторник с 10 до 11 час.;	2	0
767	"ООО ""МАЗДА СОЛЛЕРС Мануфэкчуринг Рус"" (ООО ""МСМР"")"	Производство легковых автомобилей	690001, г Владивосток, ул Дальзаводская, д. 2	542	2
768	"ООО ""МАКСИМУМ"""	Торговля розничная мясом и мясными продуктами в специализированных магазинах…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Собеседование каждый вторник с 10:00-11:00 по предварительной записи по телефону	6	0
769	"ООО ""МАМИНА РАДОСТЬ"""	Торговля розничная прочими товарами в специализированных магазинах	г Владивосток, пр-кт Красного Знамени, д. 57	39	0
770	"ООО ""Манчжур-МШЧС"""	Деятельность вспомогательная, связанная с водным транспортом	690035, г Владивосток, ул Окатовая, д. 62	100	8
771	"ООО ""Марат ДВ"""	Деятельность ресторанов и услуги по доставке продуктов питания…	692906, г Находка, ул 1-я Промышленная, д. 2б, Собеседование по адресу: г. Находка ул. Бестужева, 15А	8	0
772	"ООО ""МАРКЕТ"""	Деятельность ресторанов и услуги по доставке продуктов питания…	690005, г Владивосток, ул Матросская 7-я, д. 25, офис 1-8, Собеседование по адресу г. Вл-ок Океанский пр., 69 оф.501 каждый вторник  с 10:00 до 11:00 обязательно запись по тел. 89623364553	13	2
773	"ООО ""Маркетоптторг"" "	Торговля розничная табачными изделиями в специализированных магазинах…	690074, г Владивосток, ул Снеговая, д. 34, офис 2	70	0
774	"ООО ""Мартен"""	Торговля оптовая металлами в первичных формах	692770, г Артем, ул Рабочая 1-я, д. 16, корп. а	253	10
775	"ООО ""МЕГАПАК-ДВ"""	Торговля оптовая неспециализированная…	690018, г Владивосток, ул Вострецова, д. 38	58	0
776	"ООО ""МЕГА-СЕРВИС"""	Торговля розничная мясом и мясными продуктами в специализированных магазинах…	690069, г Владивосток, ул Давыдова, д. 18	65	0
777	"ООО ""МЕГАТЕХСЕРВИС"""	Деятельность вспомогательная прочая, связанная с перевозками	690002, г Владивосток, пр-кт Острякова, д. 49, офис 104	70	10
778	"ООО ""Межрегиональное Путейское Предприятие"""	Строительство жилых и нежилых зданий	690078, г Владивосток, ул Амурская, д. 88	35	0
779	"ООО ""МЕРИДИАН ЛОГИСТИК"""	Деятельность по складированию и хранению…	690066, г Владивосток, пр-кт Красного Знамени, д. 114А, офис 105	1	11
780	"ООО ""МЕТА"""	Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах…	690003, г Владивосток, ул Станюковича, д. 48, корп. 9, офис 60, 3 этаж	н/д	0
781	"ООО ""Метида"""	Выращивание однолетних культур…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, кадровая служба и собеседование с предварительной записью по телефону	11	1
782	"ООО ""Мир детства"""	Торговля оптовая прочими бытовыми товарами	690074, г Владивосток, ул Снеговая, д. 34	58	0
783	"ООО ""Мир Упаковки"""	Торговля розничная прочая в неспециализированных магазинах	690088, г Владивосток, ул Жигура, д. 11-А	251	1
784	"ООО ""Мирэ"""	Работы строительные отделочные…	690065, г Владивосток, ул Крыгина, д. 89, Предварительная запись на собеседование по телефону.	32	0
785	"ООО ""Мозаика"""	Строительство жилых и нежилых зданий	690106, г Владивосток, пр-кт Океанский, д. 69, офис 504, кадровая служба и собеседование с предварительной записью по телефону	1	0
786	"ООО ""МОКРАН"""	Строительство жилых и нежилых зданий…	690087, г Владивосток, ул Снеговая, д. 1	122	0
787	"ООО ""Монопроф"""	Деятельность ресторанов и услуги по доставке продуктов питания	690106, г Владивосток, пр-кт Океанский, д. 69, офис 504, собеседование и прием с предварительной записью по телефону; рабочие места по ул. Маковского, ул. Вавилова	1	0
788	"ООО ""МонтажКабель"""	Деятельность в области связи на базе проводных технологий	690074, г Владивосток, ул Снеговая, д. 13ж, Cобеседование по адресу: ул. Зейская, 4/2	76	0
789	"ООО ""Моор Стивенс"""	Деятельность по оказанию услуг в области бухгалтерского учета, по проведению финансового аудита, по налоговому консультированию	690003, г Владивосток, ул Верхнепортовая, д. 18, корп. А	40	0
790	"ООО ""Морской бриз"""	Рыболовство…	690001, г Владивосток, ул Пушкинская, д. 22	161	0
791	"ООО ""Морской транспорт"""	Деятельность морского грузового транспорта…	690012, г Владивосток, ул Дубовая, д. 6, корп. Б	136	0
792	"ООО ""Мортранс"""	Деятельность морского пассажирского транспорта	690091, г Владивосток, ул Уборевича, д. 5, корп. а	214	0
793	"ООО ""МОРТЭК-ДВ"""	Транспортная обработка грузов…	690003, г Владивосток, ул Нижнепортовая, д. 1	64	0
794	"ООО ""НАДЕЖДА-03"""	Торговля оптовая продуктами из мяса и мяса птицы	690017, г Владивосток, ул Кипарисовая, д. 8	86	2
795	"ООО ""Надежда-95"""	Производство продукции из мяса убойных животных и мяса птицы	690035, г Владивосток, ул Окатовая, д. 66, корп. А	72	0
796	"ООО ""Находка Телеком"""	Деятельность по предоставлению услуг телефонной связи	690001, г Владивосток, ул Пушкинская, д. 26	80	0
797	"ООО ""Негоциант Стандарт Дистрибьюшн"""	Торговля оптовая прочими пищевыми продуктами, включая рыбу, ракообразных и моллюсков	692930, г Находка, ул Ореховая, д. 21	68	0
798	"ООО ""Нефтегазмонтаж"""	Строительство жилых и нежилых зданий	"690002, г Владивосток, пр-кт Острякова, д. 44, корп. А, на территории нефтебазы ""Приморнефтепродукт"""	42	0
799	"ООО ""НефтеСинтез"" "	Торговля розничная моторным топливом в специализированных магазинах…	690014, г Владивосток, ул Гоголя, д. 37, офис 302	210	0
800	"ООО ""НИ"""	Торговля розничная алкогольными напитками, включая пиво, в специализированных магазинах…	690049, г Владивосток, ул Русская, д. 72, корп. 6	57	3
801	"ООО ""Нико"""	Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах	690001, г Владивосток, ул Светланская, д. 167, офис 317	263	0
802	"ООО ""НИКО-ОЙЛ ДВ"""	Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами	690001, г Владивосток, ул Светланская, д. 167, офис 318	149	3
803	"ООО ""ННК-БУНКЕР"""	Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами…	690091, г Владивосток, ул Фонтанная, д. 55, офис 301	28	4
804	"ООО ""Новомед"""	Деятельность больничных организаций	690087, г Владивосток, ул Котельникова, д. 2	100	0
805	"ООО ""Норфес-Марин Сервис"""	Деятельность сухопутного и трубопроводного транспорта	г Владивосток, ул.В.Портовая, 18	111	0
806	"ООО ""О` ВИТА"""	Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)…	"690106, г Владивосток, пр-кт Партизанский, д. 44, офис 3, , территория ""Инструментального завода"";"	50	0
807	"ООО ""ОА ""ТОРНАДО-С"""	Деятельность частных охранных служб…	690106, г Владивосток, пр-кт Красного Знамени, д. 33, офис 17	60	0
808	"ООО ""Обувь России"""	Торговля розничная обувью в специализированных магазинах…	690016, г Владивосток, ул Борисенко, д. 17	56	2
809	"ООО ""ОЙЛ-КОМПАКТ"""	Деятельность вспомогательная, связанная с морским транспортом	690012, г Владивосток, ул Калинина, д. 239	50	0
810	"ООО ""ОКЕАН"""	Производство изделий из бумаги и картона…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 504, собеседование с предварительной записью по телефону	1	0
811	"ООО ""ОКЕАНВОСТОКСЕРВИС"""	Торговля оптовая прочими пищевыми продуктами, включая рыбу, ракообразных и моллюсков…	690021, г Владивосток, ул Гульбиновича, д. 13	36	0
812	"ООО ""ОКТАВА"""	Производство прочих деревянных изделий; производство изделий из пробки, соломки и материалов для плетения…	690106, г Владивосток, пр-кт Океанский, д. 69, стр. офис 501, Собеседование по адресу: г. Владивосток Пр. Океанский, 69 офис 501 каждый вторник с 10:00 до 11:00 ОБЯЗАТЕЛЬНА ПРЕДВАРИТЕЛЬНАЯ ЗАПИСЬ ПО ТЕЛЕФОНУ.	6	13
813	"ООО ""ОктопусНет"""	Деятельность по предоставлению услуг подвижной связи для целей передачи голоса	690005, г Владивосток, ул Зейская, д. 4/2	332	1
814	"ООО ""Оридан"""	Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах…	692853, г Партизанск, ул Ленинская, д. 1, корп. Г	55	0
815	"ООО ""Ортодонтикс групп"""	Стоматологическая практика	690003, г Владивосток, ул Станюковича, д. 52	35	0
816	"ООО ""ОСТ-КОМ"""	Торговля оптовая компьютерами и периферийными устройствами…	690014, г Владивосток, пр-кт Красного Знамени, д. 82, корп. В	28	0
817	"ООО ""ПАЛ"""	Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки…	690039, г Владивосток, ул Русская, д. 2, корп. А	55	0
818	"ООО ""ПАРАВАН АЙТИ"""	Производство электромонтажных работ	690021, г Владивосток, ул Олега Кошевого, д. 5, офис 23	149	0
819	"ООО ""ПАРТНЕР"""	Торговля оптовая за вознаграждение или на договорной основе	690074, г Владивосток, ул Снеговая, д. 64	9	0
820	"ООО ""Пасифик Трейд и Сервис"""	Торговля оптовая фармацевтической продукцией…	690105, г Владивосток, ул Бородинская, д. 46/50, офис 203	78	0
821	"ООО ""Пасифик"""	Деятельность по складированию и хранению…	692919, г Находка, ул Малиновского, д. 1Д	5	1
822	"ООО ""ПА-СТРОЙ"""	Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения…	690034, г Владивосток, ул Фадеева, д. 47, корп. Н, Собеседование граждан	143	0
823	"ООО ""ПВ-Строй"""	Строительство жилых и нежилых зданий…	692756, г Артем, ул Дежнева, д. 60, корп. А, Собеседование граждан по предварительному согласованию;	8	0
824	"ООО ""ПГИ"""	Ремонт электрического оборудования…	690065, г Владивосток, ул Крыгина, д. 3, корп. В	48	0
825	"ООО ""ПЕРФЕКТУМ"""	Деятельность частных охранных служб…	690003, г Владивосток, ул Посьетская, д. 15, офис 23	50	0
826	"ООО ""ПК ""ЭВЕРНИТ"""	Торговля оптовая одеждой и обувью	г Владивосток, ул Комсомольская, д. 27, офис 1	35	0
827	"ООО ""ПКК ""МОДЕРН ИНЖИНИРИНГ СИСТЕМС"""	Строительство жилых и нежилых зданий…	690014, г Владивосток, пр-кт Красного Знамени, д. 117Д, офис 196	59	4
828	"ООО ""ПКФ ""ДВ-Пласт"""	Производство пластмассовых изделий для упаковывания товаров	690080, г Владивосток, ул Командорская, д. 11	54	0
829	"ООО ""ПЛОДОВОЩЕТОРГ"""	Деятельность домашних хозяйств с наемными работниками…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 504, Прием граждан на собеседование с обязательной предварительной записью по телефону	1	0
830	"ООО ""ПОЛЮС ЭКСПРЕСС"""	Торговля розничная замороженными продуктами в неспециализированных магазинах…	690024, г Владивосток, ул Успенского, д. 58, офис 1	81	1
831	"ООО ""ПортКонтракт"""	Аренда и управление собственным или арендованным нежилым недвижимым имуществом	690065, г Владивосток, ул Стрельникова, д. 9	85	0
832	"ООО ""Порто-Франко 70"""	Строительство жилых и нежилых зданий	690003, г Владивосток, ул Верхнепортовая, д. 41	8	0
833	"ООО ""Портстрой компания"""	Строительство гидротехнических сооружений…	690002, г Владивосток, пр-кт Острякова, д. 5, корп. Г, офис 54, Запись на собеседование по предварительному звонку по телефону.	н/д	0
834	"ООО ""ПортТелеком"""	Деятельность в области связи на базе проводных технологий	г Владивосток, ул.Стрельникова,9	40	1
835	"ООО ""ПортЭнерго"""	Производство, передача и распределение пара и горячей воды; кондиционирование воздуха	690012, г Владивосток, ул Березовая, д. 25	70	0
836	"ООО ""Порядок"""	Деятельность по комплексному обслуживанию помещений…	690021, г Владивосток, ул Калинина, д. 275	36	0
837	"ООО ""ПР"""	Деятельность рекламная	690005, г Владивосток, ул Светланская, д. 114, офис 24	100	0
838	"ООО ""ПРЕМИУМ"""	Переработка и консервирование рыбы, ракообразных и моллюсков…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, собеседование каждый вторник с 10 до 11 час. Обязательна предварительная запись по телефону;	9	0
839	"ООО ""Прибой"""	Рыболовство…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, кадровая служба и собеседование с предварительной записью по телефону каждый вторник с 10 до 11 час.	13	1
840	"ООО ""Прима"""	Переработка и консервирование рыбы, ракообразных и моллюсков…	690106, г Владивосток, пр-кт Океанский, д. 69, стр. офис 501, Собеседование по адресу г. Вл-ок, Океанский пр., 69 офис 501, КАЖДЫЙ ВТОРНИК С 11:00 ДО 12:00, ОБЯЗАТЕЛЬНА ПРЕДВАРИТЕЛЬНАЯ ЗАПИСЬ ПО ТЕЛЕФОНУ;	14	1
841	"ООО ""Примкон"""	Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения…	690091, г Владивосток, ул Алеутская, д. 52	591	15
842	"ООО ""ПРИМКРАБ"""	Деятельность по управлению финансово-промышленными группами…	690066, г Владивосток, ул Шилкинская, д. 7Б, офис 1, 5 этаж, каб. 506	352	3
843	"ООО ""ПРИМОРСКАЯ ТРАНСПОРТНАЯ КОМПАНИЯ"""	Деятельность сухопутного и трубопроводного транспорта	г Артем, переулок Заводской 27	40	1
844	"ООО ""Приморские автовокзалы"""	Деятельность автобусных станций	690039, г Владивосток, ул Русская, д. 2, корп. а	48	0
845	"ООО ""Приморские автолинии"""	Деятельность сухопутного пассажирского транспорта: внутригородские и пригородные перевозки пассажиров	692519, г Уссурийск, ул Чичерина, д. 121, автовокзал	84	0
846	"ООО ""Приморский тарный комбинат"""	Производство тары из легких металлов…	692243, г Спасск-Дальний, ул Краснознамённая, д. 50, корп. 2	123	3
847	"ООО ""Приморский центр микрохирургии глаза"""	Деятельность в области здравоохранения	690080, г Владивосток, ул Борисенко, д. 100, корп. е	85	0
848	"ООО ""Приморскуголь"""	Добыча бурого угля (лигнита) открытым способом…	690091, г Владивосток, ул Тигровая, д. 29	1707	10
849	"ООО ""Примрыбкооп"""	Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах…	690087, г Владивосток, ул Деревенская, д. 20	71	2
850	"ООО ""Примстрой"""	Строительство жилых и нежилых зданий…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Собеседование каждый вторник с 10.00 до 11.00 час., обязательная предварительная запись по телефону;	7	0
851	"ООО ""ПРИМСТРОЙ"""	Строительство жилых и нежилых зданий	690069, г Владивосток, ул Русская, д. 35, офис 2	70	0
852	"ООО ""Примтеркомбанк"""	Денежное посредничество прочее	690091, г Владивосток, ул Семеновская, д. 6Г	92	4
853	"ООО ""Примэлектроника"""	Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями	690091, г Владивосток, ул Семеновская, д. 8, корп. 2	65	0
854	"ООО ""Приоритет"""	Строительство жилых и нежилых зданий…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Собеседование и приём соискателей с предварительной записью по телефону каждый вторник с 10 до 11 час.;	1	0
855	"ООО ""ПРОГРЕСС"""	Строительство жилых и нежилых зданий…	690074, г Владивосток, ул Выселковая, д. 39, офис 217, Прием граждан на собеседование с предварительной записью по телефону	11	14
856	"ООО ""Прогресс"""	Работы строительные отделочные	690106, г Владивосток, пр-кт Океанский, д. 69, офис 504, кадровая служба и собеседование с предварительной записью по телефону	1	0
857	"ООО ""Промточка"""	Деятельность ресторанов и услуги по доставке продуктов питания	692906, г Находка, ул 1-я Промышленная, д. 2б	4	3
858	"ООО ""Профи"""	Деятельность гостиниц и прочих мест для временного проживания…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Приём и собеседование по предварительной записи проводится каждый вторник с 10.00 до 11.00 час.;	1	0
859	"ООО ""ПРОФИТЕКС"""	Строительство жилых и нежилых зданий	692502, г Уссурийск, ул Стаханова, д. 34, строительный объект (многоквартирный дом), ПРЕДВ. ОБРАЩАТЬСЯ ТОЛЬКО ПО ТЕЛ. 8-914-966-07-41	100	1
860	"ООО ""Птицефабрика ""Уссурийская"""	Разведение сельскохозяйственной птицы…	692715, г Артем, ул Ворошилова, д. 45	400	11
861	"ООО ""ПЭК"""	Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки…	690025, г Артем, ул Фрунзе, д. 15/1	133	3
862	"ООО ""РАДНИКА"""	Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)…	690091, г Владивосток, ул Алеутская, д. 13	480	2
863	"ООО ""РАЙ-ИНВЕСТ"""	Деятельность по подбору персонала прочая…	690014, г Владивосток, ул Некрасовская, д. 100, офис 4, 3-ий этаж, собеседование граждан по предварительной записи по телефону	6	0
864	"ООО ""Рассвет"""	Лесоводство и прочая лесохозяйственная деятельность…	690074, г Владивосток, ул Выселковая, д. 39, офис 216	1	0
865	"ООО ""Ратимир"""	Производство продукции из мяса убойных животных и мяса птицы	690054, г Владивосток, ул Шоссейная 3-я, д. 21	1306	2
866	"ООО ""РЕВ-ПРОФИТ"""	Строительство жилых и нежилых зданий…	690022, г Владивосток, ул Чапаева, д. 14, офис 8, СОБЕСЕДОВАНИЯ ПО АДРЕСУ: Г.ВЛАДИВОСТОК, ОКЕАНСКИЙ ПР-Т, Д.69, ОФ. 501 КАЖДЫЙ ВТОРНИК С 11-00 ДО 12-00	1	13
867	"ООО ""Регион-Маркет"""	Торговля розничная алкогольными напитками, кроме пива, в специализированных магазинах	690034, г Владивосток, ул Фадеева, д. 51, корп. В, офис 2	44	5
868	"ООО ""Регионтрейд"""	Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами…	690054, г Владивосток, ул Заречная, д. 47	240	1
869	"ООО ""Респект-Владивосток"""	Торговля розничная обувью в специализированных магазинах…	690001, г Владивосток, ул Пушкинская, д. 40, офис 810	50	0
870	"ООО ""Ресурс ДВ"""	Производство кирпича, черепицы и прочих строительных изделий из обожженной глины…	690021, г Владивосток, ул Запорожская, д. 77, офис 824/1, собеседование и прием соискателей с предварительной записью по телефону	76	0
871	"ООО ""Рилайз"""	Производство строительных металлических конструкций, изделий и их частей…	690034, г Владивосток, ул Воропаева, д. 41, корп. А, прием граждан на собеседование по предварительной записи по телефону	16	7
872	"ООО ""РМД ЮВА 1"""	Рыболовство морское…	690001, г Владивосток, ул Пушкинская, д. 87, офис 12	91	1
873	"ООО ""РОДСТОР ГРУПП"""	Торговля оптовая прочими пищевыми продуктами…	690068, г Владивосток, пр-кт 100-летия Владивостока, д. 155, корп. 2, офис 12	622	3
874	"ООО ""РОНДА СОФТВАРЕ"""	Научные исследования и разработки в области естественных и технических наук прочие…	690048, г Владивосток, ул Карбышева, д. 4	108	0
875	"ООО ""РОНДА"""	Разработка компьютерного программного обеспечения…	690048, г Владивосток, ул Карбышева, д. 4	9	0
876	"ООО ""РОССВЕТ ПРИМОРЬЕ"""	Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания	690014, г Владивосток, пр-кт Народный, д. 28, офис 206 а	100	0
877	"ООО ""Ростелеком-Розничные системы"""	Деятельность холдинговых компаний…	г Владивосток, пр-кт Красного Знамени, д. 37	318	4
878	"ООО ""РОСТЕХСЕРВИС"""	Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ	690089, г Владивосток, ул Карбышева, д. 16	63	0
879	"ООО ""РОСТТРАНС"""	Деятельность автобусного транспорта по регулярным внутригородским и пригородным пассажирским перевозкам	690091, г Владивосток, ул Посьетская, д. 32	78	0
880	"ООО ""РОСТТРАНС-ДВ"""	Деятельность туристических агентств…	690062, г Владивосток, ул Днепровская, д. 25А	23	0
881	"ООО ""РОСТТРАНС-ПРИМОРЬЕ"""	Деятельность автобусного транспорта по регулярным внутригородским и пригородным пассажирским перевозкам	690062, г Владивосток, ул Днепровская, д. 25, корп. А	13	0
882	"ООО ""РСА"""	Торговля розничная алкогольными напитками, кроме пива, в специализированных магазинах…	690080, г Владивосток, ул Сахалинская, д. 29, офис 3	88	5
883	"ООО ""РСК КФК"""	Строительство мостов и тоннелей	690068, г Владивосток, пр-кт 100-летия Владивостока, д. 127	70	0
884	"ООО ""РУБИН"""	Деятельность предприятий общественного питания по прочим видам организации питания…	690017, г Владивосток, ул Патрокл, д. 10, рабочие места по адресу г.Владивосток (пищеблоки детских садов Советский и Первомайский районы)	14	0
885	"ООО ""РУСКОР"""	Строительство жилых и нежилых зданий…	690063, г Владивосток, ул Босфора, д. 42, Мыс Анна, собеседование с предварительным обращением по телефону	н/д	0
886	"ООО ""Русская Рыбопромышленная Компания"" "	Деятельность по управлению финансово-промышленными группами…	690001, г Владивосток, ул Пушкинская, д. 87	179	7
887	"ООО ""Русский Тур"""	Деятельность туристических агентств…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Собеседование проходит каждый вторник с 10 до 11, обязательна предварительная запись по телефону. Рабочие места по адресам: ул. Выселковая, ул. Маковского, ул. Десятая;	8	1
888	"ООО ""Рустил"""	Торговля оптовая черными металлами в первичных формах…	"690025, г Владивосток, ул Фанзавод, д. 1, офис 26, за переездом металлобаза ""Рустил"", администр.-бытовой корпус, 2-й этаж"	2	0
889	"ООО ""РЫБНЫЙ МИР"""	Переработка и консервирование рыбы, ракообразных и моллюсков	690025, г Владивосток, ул Успенского, д. 78	31	0
